,Z_OPT_x,ZINDEX_x,Z_OPT_y,ZINDEX_y,ZVALID,ZSUBJECT,Z_FOK_SUBJECT,ZCLIENTHEIGHT,ZCLIENTWIDTH,ZDURATION,ZCHARACTER,Gender,Handedness,Finger
0,9,0,58,0,1,1,16384,443.0,375.0,0.2835899591445923,7,0,1,0
1,9,0,65,1,1,1,15360,443.0,375.0,0.4331390261650085,0,0,1,0
2,9,0,57,2,1,1,41984,443.0,375.0,0.4841160178184509,9,0,1,0
3,9,0,55,3,1,1,14336,443.0,375.0,0.4165299534797668,6,0,1,0
4,9,0,56,4,1,1,27648,443.0,375.0,0.2507129907608032,4,0,1,0
5,9,0,55,5,1,1,37888,443.0,375.0,0.3838789463043213,5,0,1,0
6,9,0,55,6,1,1,39936,443.0,375.0,0.450107991695404,6,0,1,0
7,9,0,55,7,1,1,26624,443.0,375.0,0.6499220132827759,8,0,1,0
8,9,0,57,8,1,1,25600,443.0,375.0,0.3669849634170532,1,0,1,0
9,9,0,55,9,1,1,40960,443.0,375.0,0.5671129822731018,8,0,1,0
10,9,0,55,10,1,1,38912,443.0,375.0,0.513185977935791,3,0,1,0
11,9,0,55,11,1,1,30720,443.0,375.0,0.7027609944343567,8,0,1,0
12,9,0,55,12,1,1,23552,443.0,375.0,0.7170659899711609,8,0,1,0
13,9,0,57,13,1,1,36864,443.0,375.0,0.3828030228614807,2,0,1,0
14,9,0,56,14,1,1,35840,443.0,375.0,0.5340439677238464,3,0,1,0
15,9,0,56,15,1,1,18432,443.0,375.0,0.2505009770393371,4,0,1,0
16,9,0,55,16,1,1,24576,443.0,375.0,0.3015819787979126,7,0,1,0
17,9,0,56,17,1,1,2048,443.0,375.0,0.4161909818649292,1,0,1,0
18,9,0,55,18,1,1,28672,443.0,375.0,0.4162769913673401,6,0,1,0
19,9,0,55,19,1,1,6144,443.0,375.0,0.5507940053939819,9,0,1,0
20,9,0,56,20,1,1,19456,443.0,375.0,0.2670620083808899,4,0,1,0
21,9,0,54,21,1,1,22528,443.0,375.0,0.5847529768943787,9,0,1,0
22,9,0,54,22,1,1,33792,443.0,375.0,0.3012710213661194,7,0,1,0
23,9,0,54,23,1,1,17408,443.0,375.0,0.2802519798278808,7,0,1,0
24,9,0,60,24,1,1,10240,443.0,375.0,0.4291589856147766,0,0,1,0
25,9,0,57,25,1,1,31744,443.0,375.0,0.4500069618225097,0,0,1,0
26,9,0,56,26,1,1,29696,443.0,375.0,0.3340199589729309,1,0,1,0
27,9,0,54,27,1,1,11264,443.0,375.0,0.4338849782943725,2,0,1,0
28,9,0,54,28,1,1,21504,443.0,375.0,0.4172360301017761,6,0,1,0
29,9,0,54,29,1,1,4096,443.0,375.0,0.3679350018501282,5,0,1,0
30,9,0,54,30,1,1,5120,443.0,375.0,0.3335849642753601,1,0,1,0
31,9,0,54,31,1,1,3072,443.0,375.0,0.4489850401878357,5,0,1,0
32,9,0,55,32,1,1,12288,443.0,375.0,0.518248975276947,3,0,1,0
33,9,0,54,33,1,1,9216,443.0,375.0,0.3174009919166565,5,0,1,0
